"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_agent_get_info",75,62669864,835598,57.726850064355396
"hsa_queue_create",2,28116936,14058468,25.899244790782962
"hsa_signal_wait_scacquire",9,11137628,1237514,10.259160313936
"hsa_amd_memory_pool_allocate",10,2924311,292431,2.693659310295379
"hsa_signal_store_screlease",6,1224057,204009,1.1275109023569077
"hsa_amd_memory_async_copy",4,590802,147700,0.5442031671190686
"hsa_executable_load_agent_code_object",2,548952,274476,0.5056540380641009
"hsa_amd_agents_allow_access",7,505866,72266,0.4659663970972589
"hsa_system_get_info",5004,401158,80,0.3695171209900293
"hsa_executable_freeze",2,147686,73843,0.1360374354507039
"hsa_signal_create",74,72262,976,0.0665624172943865
"hsa_iterate_agents",2,50006,25003,0.04606183387151049
"hsa_code_object_reader_create_from_memory",2,47582,23791,0.043829024102591936
"hsa_amd_agent_iterate_memory_pools",15,26544,1769,0.02445037232102897
"hsa_system_get_major_extension_table",3,23535,7845,0.021678703758868927
"hsa_isa_get_info_alt",2,21010,10505,0.01935286024957876
"hsa_executable_create_alt",2,13697,6848,0.012616664770989066
"hsa_amd_memory_pool_get_info",58,10170,175,0.00936785286712118
"hsa_executable_get_symbol_by_name",22,8434,383,0.007768777884100298
"hsa_amd_agent_memory_pool_get_info",11,5428,493,0.004999872700367135
"hsa_signal_load_relaxed",56,4798,85,0.00441956323072246
"hsa_executable_symbol_get_info",49,3723,75,0.0034293526277573406
"hsa_agent_iterate_isas",1,3537,3537,0.0032580231652908176
"hsa_queue_add_write_index_screlease",6,1583,263,0.0014581426832500322
"hsa_queue_load_read_index_relaxed",6,1132,188,0.0010427147930758285
"hsa_queue_load_read_index_scacquire",6,871,145,0.0008023008699373204
"hsa_signal_silent_store_relaxed",8,842,105,0.0007755882118108194
"hsa_amd_profiling_set_profiler_enabled",2,350,175,0.00032239414980259713
"hsa_dispatch",2,0,0,0.0
